Deblured Gaussian Blurred Images,"This paper attempts to undertake the study of Restored Gaussian Blurred
Images. by using four types of techniques of deblurring image as Wiener filter,
Regularized filter, Lucy Richardson deconvlutin algorithm and Blind
deconvlution algorithm with an information of the Point Spread Function (PSF)
corrupted blurred image with Different values of Size and Alfa and then
corrupted by Gaussian noise. The same is applied to the remote sensing image
and they are compared with one another, So as to choose the base technique for
restored or deblurring image.This paper also attempts to undertake the study of
restored Gaussian blurred image with no any information about the Point Spread
Function (PSF) by using same four techniques after execute the guess of the
PSF, the number of iterations and the weight threshold of it. To choose the
base guesses for restored or deblurring image of this techniques.",Lucy Richardson deconvlutin - 1.55; Wiener filter - 0.47; BlindĊdeconvlution - 2.97; ĊRegularized filter - 0.40,deblurring - 0.00; debl - 1.37,Lucy Richardson deconvlutin - deblurring - 3.70; Lucy Richardson deconvlutin - debl - 7.96; Wiener filter - deblurring - 1.82; Wiener filter - debl - 8.87; BlindĊdeconvlution - deblurring - 8.03; BlindĊdeconvlution - debl - 13.64; ĊRegularized filter - deblurring - 1.47; ĊRegularized filter - debl - 8.01,"{'CumulativeMethodScore': 0.7029888862820193, 'CumulativeTaskScore': 0.5462245570151416, 'CumulativeMethodTaskPairScore': 0.8368325317234344}"
Penalized K-Nearest-Neighbor-Graph Based Metrics for Clustering,"A difficult problem in clustering is how to handle data with a manifold
structure, i.e. data that is not shaped in the form of compact clouds of
points, forming arbitrary shapes or paths embedded in a high-dimensional space.
In this work we introduce the Penalized k-Nearest-Neighbor-Graph (PKNNG) based
metric, a new tool for evaluating distances in such cases. The new metric can
be used in combination with most clustering algorithms. The PKNNG metric is
based on a two-step procedure: first it constructs the k-Nearest-Neighbor-Graph
of the dataset of interest using a low k-value and then it adds edges with an
exponentially penalized weight for connecting the sub-graphs produced by the
first step. We discuss several possible schemes for connecting the different
sub-graphs. We use three artificial datasets in four different embedding
situations to evaluate the behavior of the new metric, including a comparison
among different clustering methods. We also evaluate the new metric in a real
world application, clustering the MNIST digits dataset. In all cases the PKNNG
metric shows promising clustering results.",Penalized k-Nearest-Neighbor-Graph - 2.14; PKNNGbor-Graph - 2.61; PKNNGmetering - 1.38; PKNNG - 0.58,clustering - 0.00; Clustering - 0.00,Penalized k-Nearest-Neighbor-Graph - clustering - 4.78; PKNNGbor-Graph - clustering - 9.98; PKNNGmetering - clustering - 5.96; PKNNG - clustering - 3.60,"{'CumulativeMethodScore': 0.75752995842057, 'CumulativeTaskScore': 0.4437545527228618, 'CumulativeMethodTaskPairScore': 0.6485199792950708}"
Solving Inverse Problems with Piecewise Linear Estimators: From Gaussian Mixture Models to Structured Sparsity,"A general framework for solving image inverse problems is introduced in this
paper. The approach is based on Gaussian mixture models, estimated via a
computationally efficient MAP-EM algorithm. A dual mathematical interpretation
of the proposed framework with structured sparse estimation is described, which
shows that the resulting piecewise linear estimate stabilizes the estimation
when compared to traditional sparse inverse problem techniques. This
interpretation also suggests an effective dictionary motivated initialization
for the MAP-EM algorithm. We demonstrate that in a number of image inverse
problems, including inpainting, zooming, and deblurring, the same algorithm
produces either equal, often significantly better, or very small margin worse
results than the best published ones, at a lower computational cost.",MAP-EM - 1.15,inpainting - 0.00; deblurring - 0.00; zooming - 0.00,MAP-EM - inpainting - 1.92; MAP-EM - deblurring - 2.20; MAP-EM - zooming - 2.43,"{'CumulativeMethodScore': 0.4902926897729776, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.4976243746412336}"
Survey of Nearest Neighbor Techniques,"The nearest neighbor (NN) technique is very simple, highly efficient and
effective in the field of pattern recognition, text categorization, object
recognition etc. Its simplicity is its main advantage, but the disadvantages
can't be ignored even. The memory requirement and computation complexity also
matter. Many techniques are developed to overcome these limitations. NN
techniques are broadly classified into structure less and structure based
techniques. In this paper, we present the survey of such techniques. Weighted
kNN, Model based kNN, Condensed NN, Reduced NN, Generalized NN are structure
less techniques whereas k-d tree, ball tree, Principal Axis Tree, Nearest
Feature Line, Tunable NN, Orthogonal Search Tree are structure based algorithms
developed on the basis of kNN. The structure less method overcome memory
limitation and structure based techniques reduce the computational complexity.",ball tree - 0.00; Orthogonal Search Tree - 0.00; Tunable NN - 0.00; k-d tree - 0.00; Generalized NN - 0.00; Model based kNN - 0.00; Reduced NN - 0.00; Condensed NN - 0.00; Principal Axis Tree - 0.00; WeightedĊkNN - 0.68; NearestĊFeature Line - 0.45,text categorization - 0.00; objectĊrecognition - 0.86,ball tree - text categorization - 0.00; Orthogonal Search Tree - text categorization - 0.00; Tunable NN - text categorization - 0.00; k-d tree - text categorization - 0.00; Generalized NN - text categorization - 0.00; Model based kNN - text categorization - 0.00; Reduced NN - text categorization - 0.00; Condensed NN - text categorization - 0.00; Principal Axis Tree - text categorization - 0.00; WeightedĊkNN - text categorization - 4.48; NearestĊFeature Line - text categorization - 3.13,"{'CumulativeMethodScore': 0.48937819550085176, 'CumulativeTaskScore': 0.5080709663224244, 'CumulativeMethodTaskPairScore': 0.5069192642035425}"
A Parallel Framework for Multilayer Perceptron for Human Face Recognition,"Artificial neural networks have already shown their success in face
recognition and similar complex pattern recognition tasks. However, a major
disadvantage of the technique is that it is extremely slow during training for
larger classes and hence not suitable for real-time complex problems such as
pattern recognition. This is an attempt to develop a parallel framework for the
training algorithm of a perceptron. In this paper, two general architectures
for a Multilayer Perceptron (MLP) have been demonstrated. The first
architecture is All-Class-in-One-Network (ACON) where all the classes are
placed in a single network and the second one is One-Class-in-One-Network
(OCON) where an individual single network is responsible for each and every
class. Capabilities of these two architectures were compared and verified in
solving human face recognition, which is a complex pattern recognition task
where several factors affect the recognition performance like pose variations,
facial expression changes, occlusions, and most importantly illumination
changes. Both the structures were implemented and tested for face recognition
purpose and experimental results show that the OCON structure performs better
than the generally used ACON ones in term of training convergence speed of the
network. Unlike the conventional sequential approach of training the neural
networks, the OCON technique may be implemented by training all the classes of
the face images simultaneously.",ACON - 0.96; OCON - 0.71; One-Class-in-One-NetworkĊ - 2.14; MLP - 0.00; Multilayer Perceptron - 0.00; All-Class-in-One-Network - 2.33,faceĊrecognition - 0.83; face recognition - 0.00; Ċpattern recognition - 0.32; human face recognition - 0.31,ACON - face recognition - 9.47; ACON - human face recognition - 10.00; One-Class-in-One-NetworkĊ - face recognition - 7.26; One-Class-in-One-NetworkĊ - human face recognition - 7.65; All-Class-in-One-Network - face recognition - 7.80; All-Class-in-One-Network - human face recognition - 8.14; OCON - face recognition - 7.06; OCON - human face recognition - 8.09; MLP - face recognition - 0.00; MLP - human face recognition - 3.10; Multilayer Perceptron - face recognition - 0.00; Multilayer Perceptron - human face recognition - 1.44,"{'CumulativeMethodScore': 0.7350442101109607, 'CumulativeTaskScore': 0.5535113081329448, 'CumulativeMethodTaskPairScore': 0.9013790200743979}"
Image Pixel Fusion for Human Face Recognition,"In this paper we present a technique for fusion of optical and thermal face
images based on image pixel fusion approach. Out of several factors, which
affect face recognition performance in case of visual images, illumination
changes are a significant factor that needs to be addressed. Thermal images are
better in handling illumination conditions but not very consistent in capturing
texture details of the faces. Other factors like sunglasses, beard, moustache
etc also play active role in adding complicacies to the recognition process.
Fusion of thermal and visual images is a solution to overcome the drawbacks
present in the individual thermal and visual face images. Here fused images are
projected into an eigenspace and the projected images are classified using a
radial basis function (RBF) neural network and also by a multi-layer perceptron
(MLP). In the experiments Object Tracking and Classification Beyond Visible
Spectrum (OTCBVS) database benchmark for thermal and visual face images have
been used. Comparison of experimental results show that the proposed approach
performs significantly well in recognizing face images with a success rate of
96% and 95.07% for RBF Neural Network and MLP respectively.",MLP - 0.00,Object Tracking and Classification - 3.14,MLP - Object Tracking and Classification - 3.14,"{'CumulativeMethodScore': 0.4296810645376296, 'CumulativeTaskScore': 0.6720014465468754, 'CumulativeMethodTaskPairScore': 0.4678352203015368}"
Registration of Brain Images using Fast Walsh Hadamard Transform,"A lot of image registration techniques have been developed with great
significance for data analysis in medicine, astrophotography, satellite imaging
and few other areas. This work proposes a method for medical image registration
using Fast Walsh Hadamard transform. This algorithm registers images of the
same or different modalities. Each image bit is lengthened in terms of Fast
Walsh Hadamard basis functions. Each basis function is a notion of determining
various aspects of local structure, e.g., horizontal edge, corner, etc. These
coefficients are normalized and used as numerals in a chosen number system
which allows one to form a unique number for each type of local structure. The
experimental results show that Fast Walsh Hadamard transform accomplished
better results than the conventional Walsh transform in the time domain. Also
Fast Walsh Hadamard transform is more reliable in medical image registration
consuming less time.",Fast Walsh Hadamard - 4.52; Fast Walsh Hadamard transform - 4.43,medical registration - 1.56; medical image registration - 0.85,Fast Walsh Hadamard - medical image registration - 10.95; Fast Walsh Hadamard transform - medical image registration - 9.46,"{'CumulativeMethodScore': 0.8342587036089963, 'CumulativeTaskScore': 0.6218442458409796, 'CumulativeMethodTaskPairScore': 0.6168005939481294}"
Multi-environment model estimation for motility analysis of Caenorhabditis Elegans,"The nematode Caenorhabditis elegans is a well-known model organism used to
investigate fundamental questions in biology. Motility assays of this small
roundworm are designed to study the relationships between genes and behavior.
Commonly, motility analysis is used to classify nematode movements and
characterize them quantitatively. Over the past years, C. elegans' motility has
been studied across a wide range of environments, including crawling on
substrates, swimming in fluids, and locomoting through microfluidic substrates.
However, each environment often requires customized image processing tools
relying on heuristic parameter tuning. In the present study, we propose a novel
Multi-Environment Model Estimation (MEME) framework for automated image
segmentation that is versatile across various environments. The MEME platform
is constructed around the concept of Mixture of Gaussian (MOG) models, where
statistical models for both the background environment and the nematode
appearance are explicitly learned and used to accurately segment a target
nematode. Our method is designed to simplify the burden often imposed on users;
here, only a single image which includes a nematode in its environment must be
provided for model learning. In addition, our platform enables the extraction
of nematode `skeletons' for straightforward motility quantification. We test
our algorithm on various locomotive environments and compare performances with
an intensity-based thresholding method. Overall, MEME outperforms the
threshold-based approach for the overwhelming majority of cases examined.
Ultimately, MEME provides researchers with an attractive platform for C.
elegans' segmentation and `skeletonizing' across a wide range of motility
assays.",C.Environment Model Estimation - 3.42; MEME - 0.46; MEMEation - 0.55; Caenorhabditisans - 0.78,Ċsegmentation - 1.29; image - 0.00,C.Environment Model Estimation - image - 5.54; MEME - image - 4.46; MEMEation - image - 3.97; Caenorhabditisans - image - 4.31,"{'CumulativeMethodScore': 0.6949714639020951, 'CumulativeTaskScore': 0.5399706165745009, 'CumulativeMethodTaskPairScore': 0.599030974211095}"
Video Event Recognition for Surveillance Applications (VERSA),"VERSA provides a general-purpose framework for defining and recognizing
events in live or recorded surveillance video streams. The approach for event
recognition in VERSA is using a declarative logic language to define the
spatial and temporal relationships that characterize a given event or activity.
Doing so requires the definition of certain fundamental spatial and temporal
relationships and a high-level syntax for specifying frame templates and query
parameters. Although the handling of uncertainty in the current VERSA
implementation is simplistic, the language and architecture is amenable to
extending using Fuzzy Logic or similar approaches. VERSA's high-level
architecture is designed to work in XML-based, services- oriented environments.
VERSA can be thought of as subscribing to the XML annotations streamed by a
lower-level video analytics service that provides basic entity detection,
labeling, and tracking. One or many VERSA Event Monitors could thus analyze
video streams and provide alerts when certain events are detected.",ĊVERSA - 1.62; VERSA - 2.48,Video Event Recognition - 0.40; Ċlabeling - 0.69; eventĊrecognition - 1.94; recognizingĊevents - 2.72,VERSA - Ċlabeling - 13.11; VERSA - eventĊrecognition - 14.09; VERSA - recognizingĊevents - 17.29,"{'CumulativeMethodScore': 0.6426080099479369, 'CumulativeTaskScore': 0.8177557713931631, 'CumulativeMethodTaskPairScore': 0.7889233902331614}"
Ear Identification by Fusion of Segmented Slice Regions using Invariant Features: An Experimental Manifold with Dual Fusion Approach,"This paper proposes a robust ear identification system which is developed by
fusing SIFT features of color segmented slice regions of an ear. The proposed
ear identification method makes use of Gaussian mixture model (GMM) to build
ear model with mixture of Gaussian using vector quantization algorithm and K-L
divergence is applied to the GMM framework for recording the color similarity
in the specified ranges by comparing color similarity between a pair of
reference ear and probe ear. SIFT features are then detected and extracted from
each color slice region as a part of invariant feature extraction. The
extracted keypoints are then fused separately by the two fusion approaches,
namely concatenation and the Dempster-Shafer theory. Finally, the fusion
approaches generate two independent augmented feature vectors which are used
for identification of individuals separately. The proposed identification
technique is tested on IIT Kanpur ear database of 400 individuals and is found
to achieve 98.25% accuracy for identification while top 5 matched criteria is
set for each subject.",conc - 0.40,ear identification - 2.60; Ċ - 0.00; Ear Identification - 2.81,conc - ear identification - 4.87,"{'CumulativeMethodScore': 0.4506827250539111, 'CumulativeTaskScore': 0.8019011618046739, 'CumulativeMethodTaskPairScore': 0.4828848997298194}"
Optimally Training a Cascade Classifier,"Cascade classifiers are widely used in real-time object detection. Different
from conventional classifiers that are designed for a low overall
classification error rate, a classifier in each node of the cascade is required
to achieve an extremely high detection rate and moderate false positive rate.
Although there are a few reported methods addressing this requirement in the
context of object detection, there is no a principled feature selection method
that explicitly takes into account this asymmetric node learning objective. We
provide such an algorithm here. We show a special case of the biased minimax
probability machine has the same formulation as the linear asymmetric
classifier (LAC) of \cite{wu2005linear}. We then design a new boosting
algorithm that directly optimizes the cost function of LAC. The resulting
totally-corrective boosting algorithm is implemented by the column generation
technique in convex optimization. Experimental results on object detection
verify the effectiveness of the proposed boosting algorithm as a node
classifier in cascade object detection, and show performance better than that
of the current state-of-the-art.",linear asymmetricĊclassifier - 2.14; LAC detection object detection - 1.37,object detection - 0.00,linear asymmetricĊclassifier - object detection - 3.54; LAC detection object detection - object detection - 2.50,"{'CumulativeMethodScore': 0.6130934781258436, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.4931470757371176}"
Evolutionary Computational Method of Facial Expression Analysis for Content-based Video Retrieval using 2-Dimensional Cellular Automata,"In this paper, Deterministic Cellular Automata (DCA) based video shot
classification and retrieval is proposed. The deterministic 2D Cellular
automata model captures the human facial expressions, both spontaneous and
posed. The determinism stems from the fact that the facial muscle actions are
standardized by the encodings of Facial Action Coding System (FACS) and Action
Units (AUs). Based on these encodings, we generate the set of evolutionary
update rules of the DCA for each facial expression. We consider a
Person-Independent Facial Expression Space (PIFES) to analyze the facial
expressions based on Partitioned 2D-Cellular Automata which capture the
dynamics of facial expressions and classify the shots based on it. Target video
shot is retrieved by comparing the similar expression is obtained for the query
frame's face with respect to the key faces expressions in the database video.
Consecutive key face expressions in the database that are highly similar to the
query frame's face, then the key faces are used to generate the set of
retrieved video shots from the database. A concrete example of its application
which realizes an affective interaction between the computer and the user is
proposed. In the affective interaction, the computer can recognize the facial
expression of any given video shot. This interaction endows the computer with
certain ability to adapt to the user's feedback.",DCA - 2.99,video - 0.00; shotĊclassification retrievalACS - 8.00,DCA - video - 8.81; DCA - shotĊclassification retrievalACS - 12.46,"{'CumulativeMethodScore': 0.5869667575521392, 'CumulativeTaskScore': 0.8980746510433665, 'CumulativeMethodTaskPairScore': 0.6237980771444255}"
Modeling Instantaneous Changes In Natural Scenes,"This project aims to create 3d model of the natural world and model changes
in it instantaneously. A framework for modeling instantaneous changes natural
scenes in real time using Lagrangian Particle Framework and a fluid-particle
grid approach is presented. This project is presented in the form of a
proof-based system where we show that the design is very much possible but
currently we only have selective scripts that accomplish the given job, a
complete software however is still under work. This research can be divided
into 3 distinct sections: the first one discusses a multi-camera rig that can
measure ego-motion accurately up to 88%, how this device becomes the backbone
of our framework, and some improvements devised to optimize a know framework
for depth maps and 3d structure estimation from a single still image called
make3d. The second part discusses the fluid-particle framework to model natural
scenes, presents some algorithms that we are using to accomplish this task and
we show how an application of our framework can extend make3d to model natural
scenes in real time. This part of the research constructs a bridge between
computer vision and computer graphics so that now ideas, answers and intuitions
that arose in the domain of computer graphics can now be applied to computer
vision and natural modeling. The final part of this research improves upon what
might become the first general purpose vision system using deep belief
architectures and provides another framework to improve the lower bound on
training images for boosting by using a variation of Restricted Boltzmann
machines (RBM). We also discuss other applications that might arise from our
work in these areas.",RBM - 0.00; make3d - 2.63,3 - 0.00; Modeling Instantaneous Changes - 3.61,RBM - 3 - 0.00,"{'CumulativeMethodScore': 0.5681330580610852, 'CumulativeTaskScore': 0.7022347775876108, 'CumulativeMethodTaskPairScore': 0.4405709648786838}"
Face Detection with Effective Feature Extraction,"There is an abundant literature on face detection due to its important role
in many vision applications. Since Viola and Jones proposed the first real-time
AdaBoost based face detector, Haar-like features have been adopted as the
method of choice for frontal face detection. In this work, we show that simple
features other than Haar-like features can also be applied for training an
effective face detector. Since, single feature is not discriminative enough to
separate faces from difficult non-faces, we further improve the generalization
performance of our simple features by introducing feature co-occurrences. We
demonstrate that our proposed features yield a performance improvement compared
to Haar-like features. In addition, our findings indicate that features play a
crucial role in the ability of the system to generalize.",AdaBoost - 0.00,face detection - 0.00,AdaBoost - face detection - 0.00,"{'CumulativeMethodScore': 0.4296809076804205, 'CumulativeTaskScore': 0.44375447054421435, 'CumulativeMethodTaskPairScore': 0.440570890551996}"
Collaborative Sources Identification in Mixed Signals via Hierarchical Sparse Modeling,"A collaborative framework for detecting the different sources in mixed
signals is presented in this paper. The approach is based on C-HiLasso, a
convex collaborative hierarchical sparse model, and proceeds as follows. First,
we build a structured dictionary for mixed signals by concatenating a set of
sub-dictionaries, each one of them learned to sparsely model one of a set of
possible classes. Then, the coding of the mixed signal is performed by
efficiently solving a convex optimization problem that combines standard
sparsity with group and collaborative sparsity. The present sources are
identified by looking at the sub-dictionaries automatically selected in the
coding. The collaborative filtering in C-HiLasso takes advantage of the
temporal/spatial redundancy in the mixed signals, letting collections of
samples collaborate in identifying the classes, while allowing individual
samples to have different internal sparse representations. This collaboration
is critical to further stabilize the sparse representation of signals, in
particular the class/sub-dictionary selection. The internal sparsity inside the
sub-dictionaries, as naturally incorporated by the hierarchical aspects of
C-HiLasso, is critical to make the model consistent with the essence of the
sub-dictionaries that have been trained for sparse representation of each
individual class. We present applications from speaker and instrument
identification and texture separation. In the case of audio signals, we use
sparse modeling to describe the short-term power spectrum envelopes of harmonic
sounds. The proposed pitch independent method automatically detects the number
of sources on a recording.",C-HiLasso - 0.00; ĊC-HiLasso instrumentĊidentification - 5.22,texture separation - 0.42,C-HiLasso - texture separation - 0.91,"{'CumulativeMethodScore': 0.6953715585451306, 'CumulativeTaskScore': 0.47531594279808687, 'CumulativeMethodTaskPairScore': 0.44839739003334544}"
Selective Image Super-Resolution,"In this paper we propose a vision system that performs image Super Resolution
(SR) with selectivity. Conventional SR techniques, either by multi-image fusion
or example-based construction, have failed to capitalize on the intrinsic
structural and semantic context in the image, and performed ""blind"" resolution
recovery to the entire image area. By comparison, we advocate example-based
selective SR whereby selectivity is exemplified in three aspects: region
selectivity (SR only at object regions), source selectivity (object SR with
trained object dictionaries), and refinement selectivity (object boundaries
refinement using matting). The proposed system takes over-segmented
low-resolution images as inputs, assimilates recent learning techniques of
sparse coding (SC) and grouped multi-task lasso (GMTL), and leads eventually to
a framework for joint figure-ground separation and interest object SR. The
efficiency of our framework is manifested in our experiments with subsets of
the VOC2009 and MSRC datasets. We also demonstrate several interesting vision
applications that can build on our system.",SC - 0.00; GMTL-ground separation - 1.44; grouped multi-task lasso - 0.53; Ċsparse coding - 0.47,interest SR - 0.67; image Super ResolutionĊ(SR - 4.75; SR - 0.00,SC - SR - 0.00; GMTL-ground separation - SR - 7.41; grouped multi-task lasso - SR - 1.53; Ċsparse coding - SR - 2.21,"{'CumulativeMethodScore': 0.558086516944162, 'CumulativeTaskScore': 0.8024696127380496, 'CumulativeMethodTaskPairScore': 0.5377959733764893}"
Generalized Tree-Based Wavelet Transform,"In this paper we propose a new wavelet transform applicable to functions
defined on graphs, high dimensional data and networks. The proposed method
generalizes the Haar-like transform proposed in [1], and it is defined via a
hierarchical tree, which is assumed to capture the geometry and structure of
the input data. It is applied to the data using a modified version of the
common one-dimensional (1D) wavelet filtering and decimation scheme, which can
employ different wavelet filters. In each level of this wavelet decomposition
scheme, a permutation derived from the tree is applied to the approximation
coefficients, before they are filtered. We propose a tree construction method
that results in an efficient representation of the input function in the
transform domain. We show that the proposed transform is more efficient than
both the 1D and two-dimensional (2D) separable wavelet transforms in
representing images. We also explore the application of the proposed transform
to image denoising, and show that combined with a subimage averaging scheme, it
achieves denoising results which are similar to those obtained with the K-SVD
algorithm.",K-SVD - 2.68; Haar-like - 3.24,image denoising - 0.00,K-SVD - image denoising - 4.03; Haar-like - image denoising - 4.79,"{'CumulativeMethodScore': 0.7259609112547024, 'CumulativeTaskScore': 0.4437546218963131, 'CumulativeMethodTaskPairScore': 0.5174860686177677}"
Learning sparse representations of depth,"This paper introduces a new method for learning and inferring sparse
representations of depth (disparity) maps. The proposed algorithm relaxes the
usual assumption of the stationary noise model in sparse coding. This enables
learning from data corrupted with spatially varying noise or uncertainty,
typically obtained by laser range scanners or structured light depth cameras.
Sparse representations are learned from the Middlebury database disparity maps
and then exploited in a two-layer graphical model for inferring depth from
stereo, by including a sparsity prior on the learned features. Since they
capture higher-order dependencies in the depth structure, these priors can
complement smoothness priors commonly used in depth inference based on Markov
Random Field (MRF) models. Inference on the proposed graph is achieved using an
alternating iterative optimization technique, where the first layer is solved
using an existing MRF-based stereo matching algorithm, then held fixed as the
second layer is solved using the proposed non-stationary sparse coding
algorithm. This leads to a general method for improving solutions of state of
the art MRF-based depth estimation algorithms. Our experimental results first
show that depth inference using learned representations leads to state of the
art denoising of depth maps obtained from laser range scanners and a time of
flight camera. Furthermore, we show that adding sparse priors improves the
results of two depth estimation methods: the classical graph cut algorithm by
Boykov et al. and the more recent algorithm of Woodford et al.",graph - 0.73,den - 0.70,graph - den - 1.43,"{'CumulativeMethodScore': 0.4677787969051307, 'CumulativeTaskScore': 0.49638153528063633, 'CumulativeMethodTaskPairScore': 0.4529507912223056}"
Sparse motion segmentation using multiple six-point consistencies,"We present a method for segmenting an arbitrary number of moving objects in
image sequences using the geometry of 6 points in 2D to infer motion
consistency. The method has been evaluated on the Hopkins 155 database and
surpasses current state-of-the-art methods such as SSC, both in terms of
overall performance on two and three motions but also in terms of maximum
errors. The method works by finding initial clusters in the spatial domain, and
then classifying each remaining point as belonging to the cluster that
minimizes a motion consistency score. In contrast to most other motion
segmentation methods that are based on an affine camera model, the proposed
method is fully projective.",SSC - 0.00,segment - 0.00; motionĊsegmentation - 6.21,SSC - segment - 0.00,"{'CumulativeMethodScore': 0.42968106204552386, 'CumulativeTaskScore': 0.8372777320785054, 'CumulativeMethodTaskPairScore': 0.44057099342002914}"
Hierarchical Reinforcement Learning with the MAXQ Value Function Decomposition,"This paper presents the MAXQ approach to hierarchical reinforcement learning
based on decomposing the target Markov decision process (MDP) into a hierarchy
of smaller MDPs and decomposing the value function of the target MDP into an
additive combination of the value functions of the smaller MDPs. The paper
defines the MAXQ hierarchy, proves formal results on its representational
power, and establishes five conditions for the safe use of state abstractions.
The paper presents an online model-free learning algorithm, MAXQ-Q, and proves
that it converges wih probability 1 to a kind of locally-optimal policy known
as a recursively optimal policy, even in the presence of the five kinds of
state abstraction. The paper evaluates the MAXQ representation and MAXQ-Q
through a series of experiments in three domains and shows experimentally that
MAXQ-Q (with state abstractions) converges to a recursively optimal policy much
faster than flat Q learning. The fact that MAXQ learns a representation of the
value function has an important benefit: it makes it possible to compute and
execute an improved, non-hierarchical policy via a procedure similar to the
policy improvement step of policy iteration. The paper demonstrates the
effectiveness of this non-hierarchical execution experimentally. Finally, the
paper concludes with a comparison to related work and a discussion of the
design tradeoffs in hierarchical reinforcement learning.",MAXQ - 0.00; MAXQ-Q - 0.00; MAXQ reinforcement learning - 2.01; flat Q learning - 1.96,hierarchical reinforcement learning - 0.73,MAXQ - hierarchical reinforcement learning - 2.17; MAXQ-Q - hierarchical reinforcement learning - 1.69; MAXQ reinforcement learning - hierarchical reinforcement learning - 5.81; flat Q learning - hierarchical reinforcement learning - 6.32,"{'CumulativeMethodScore': 0.6364881148318127, 'CumulativeTaskScore': 0.4985787480907729, 'CumulativeMethodTaskPairScore': 0.5796076095085908}"
State Abstraction in MAXQ Hierarchical Reinforcement Learning,"Many researchers have explored methods for hierarchical reinforcement
learning (RL) with temporal abstractions, in which abstract actions are defined
that can perform many primitive actions before terminating. However, little is
known about learning with state abstractions, in which aspects of the state
space are ignored. In previous work, we developed the MAXQ method for
hierarchical RL. In this paper, we define five conditions under which state
abstraction can be combined with the MAXQ value function decomposition. We
prove that the MAXQ-Q learning algorithm converges under these conditions and
show experimentally that state abstraction is important for the successful
application of MAXQ-Q learning.",MAXQ - 0.00; MAXQ-Q - 0.00,reinforcementĊlearning - 4.27,MAXQ - reinforcementĊlearning - 7.57; MAXQ-Q - reinforcementĊlearning - 5.63,"{'CumulativeMethodScore': 0.4296809823693241, 'CumulativeTaskScore': 0.7418931038090008, 'CumulativeMethodTaskPairScore': 0.5555847429790809}"
Top-down induction of clustering trees,"An approach to clustering is presented that adapts the basic top-down
induction of decision trees method towards clustering. To this aim, it employs
the principles of instance based learning. The resulting methodology is
implemented in the TIC (Top down Induction of Clustering trees) system for
first order clustering. The TIC system employs the first order logical decision
tree representation of the inductive logic programming system Tilde. Various
experiments with TIC are presented, in both propositional and relational
domains.",TIC - 1.22; Top down Induction of Clustering trees - 2.92,clustering - 0.00,TIC - clustering - 4.30; Top down Induction of Clustering trees - clustering - 3.44,"{'CumulativeMethodScore': 0.6449929428354204, 'CumulativeTaskScore': 0.4437546500785482, 'CumulativeMethodTaskPairScore': 0.5080147290395546}"
Preference Learning in Terminology Extraction: A ROC-based approach,"A key data preparation step in Text Mining, Term Extraction selects the
terms, or collocation of words, attached to specific concepts. In this paper,
the task of extracting relevant collocations is achieved through a supervised
learning algorithm, exploiting a few collocations manually labelled as
relevant/irrelevant. The candidate terms are described along 13 standard
statistical criteria measures. From these examples, an evolutionary learning
algorithm termed Roger, based on the optimization of the Area under the ROC
curve criterion, extracts an order on the candidate terms. The robustness of
the approach is demonstrated on two real-world domain applications, considering
different domains (biology and human resources) and different languages
(English and French).",Roger - 0.28,Terminology Extraction - 2.40; Term Extraction - 2.09,Roger - Term Extraction - 4.31,"{'CumulativeMethodScore': 0.4443628057944613, 'CumulativeTaskScore': 0.7543311311185769, 'CumulativeMethodTaskPairScore': 0.47805413076269887}"
Using Pseudo-Stochastic Rational Languages in Probabilistic Grammatical Inference,"In probabilistic grammatical inference, a usual goal is to infer a good
approximation of an unknown distribution P called a stochastic language. The
estimate of P stands in some class of probabilistic models such as
probabilistic automata (PA). In this paper, we focus on probabilistic models
based on multiplicity automata (MA). The stochastic languages generated by MA
are called rational stochastic languages; they strictly include stochastic
languages generated by PA; they also admit a very concise canonical
representation. Despite the fact that this class is not recursively enumerable,
it is efficiently identifiable in the limit by using the algorithm DEES,
introduced by the authors in a previous paper. However, the identification is
not proper and before the convergence of the algorithm, DEES can produce MA
that do not define stochastic languages. Nevertheless, it is possible to use
these MA to define stochastic languages. We show that they belong to a broader
class of rational series, that we call pseudo-stochastic rational languages.
The aim of this paper is twofold. First we provide a theoretical study of
pseudo-stochastic rational languages, the languages output by DEES, showing for
example that this class is decidable within polynomial time. Second, we have
carried out a lot of experiments in order to compare DEES to classical
inference algorithms such as ALERGIA and MDI. They show that DEES outperforms
them in most cases.",DEES - 1.22; probabilistic automata - 0.60; multiplicity automata - 1.13; DEESstochastic - 1.07; MDI - 0.91; ALERGIA - 1.74; PA - 0.09; MA - 0.00,probabilistic grammatical inference - 0.42; Ċ - 0.00,DEES - probabilistic grammatical inference - 5.85; multiplicity automata - probabilistic grammatical inference - 4.21; DEESstochastic - probabilistic grammatical inference - 4.08; MDI - probabilistic grammatical inference - 4.91; ALERGIA - probabilistic grammatical inference - 6.99; MA - probabilistic grammatical inference - 1.57; MA - Ċ - 0.00,"{'CumulativeMethodScore': 0.7593220081477965, 'CumulativeTaskScore': 0.4750260124309147, 'CumulativeMethodTaskPairScore': 0.6742648963178977}"
